scene_id,date,platform,product_type,instrument_mode,polarizations,orbit_state,bbox,center_lat,center_lon
S1A_IW_GRDH_1SDV_20180529T003359_20180529T003424_022112_026403_96EE_COG,2018-05-29 00:33:59.654481+00:00,sentinel-1a,IW_GRDH_1S,IW,"['VV', 'VH']",,"[80.227921, 33.395138, 83.304123, 35.301533]",34.348335500000005,81.76602199999999
S1A_IW_GRDH_1SDV_20180529T003449_20180529T003514_022112_026403_3F21_COG,2018-05-29 00:34:49.654851+00:00,sentinel-1a,IW_GRDH_1S,IW,"['VV', 'VH']",,"[79.639824, 30.382027, 82.613419, 32.294395]",31.338211,81.1266215
S1A_IW_GRDH_1SDV_20180529T003744_20180529T003809_022112_026403_4188_COG,2018-05-29 00:37:44.653862+00:00,sentinel-1a,IW_GRDH_1S,IW,"['VV', 'VH']",,"[77.672028, 19.806326, 80.393089, 21.744661]",20.7754935,79.0325585
S1A_IW_GRDH_1SDV_20180529T003834_20180529T003859_022112_026403_0FF7_COG,2018-05-29 00:38:34.654219+00:00,sentinel-1a,IW_GRDH_1S,IW,"['VV', 'VH']",,"[77.084969, 16.785139, 79.761978, 18.730095]",17.757617,78.4234735
S1A_IW_GRDH_1SDV_20180529T113445_20180529T113510_022119_026436_AE26_COG,2018-05-29 11:34:45.425801+00:00,sentinel-1a,IW_GRDH_1S,IW,"['VV', 'VH']",,"[94.561661, 34.856365, 97.731705, 36.757828]",35.8070965,96.146683
S1A_IW_GRDH_1SDV_20180529T233548_20180529T233613_022126_026474_5F18_COG,2018-05-29 23:35:48.530923+00:00,sentinel-1a,IW_GRDH_1S,IW,"['VV', 'VH']",,"[95.071114, 35.509037, 98.231033, 37.40918]",36.4591085,96.6510735
S1A_IW_GRDH_1SDV_20180529T233703_20180529T233728_022126_026474_AF6D_COG,2018-05-29 23:37:03.530910+00:00,sentinel-1a,IW_GRDH_1S,IW,"['VV', 'VH']",,"[94.159866, 30.994942, 97.141838, 32.904537]",31.9497395,95.650852
S1A_IW_GRDH_1SDV_20180530T121358_20180530T121423_022134_0264B1_AD6B_COG,2018-05-30 12:13:58.402412+00:00,sentinel-1a,IW_GRDH_1S,IW,"['VV', 'VH']",,"[85.913231, 27.888287, 88.838715, 29.808147]",28.848217,87.37597299999999
S1A_IW_GRDH_1SDV_20180531T001735_20180531T001800_022141_0264ED_669A_COG,2018-05-31 00:17:35.770899+00:00,sentinel-1a,IW_GRDH_1S,IW,"['VV', 'VH']",,"[84.314209, 33.182468, 87.364944, 35.088844]",34.135656,85.83957649999999
S1A_IW_GRDH_1SDV_20180531T001940_20180531T002005_022141_0264ED_D419_COG,2018-05-31 00:19:40.771329+00:00,sentinel-1a,IW_GRDH_1S,IW,"['VV', 'VH']",,"[82.925674, 25.631905, 85.753311, 27.555519]",26.593712,84.3394925
